epoch step loss
1 10 1.7264924049377441
1 20 1.6340360641479492
1 30 1.5670337677001953
2 10 1.4488115310668945
2 20 1.257226586341858
2 30 1.3994556665420532
3 10 0.9895645976066589
3 20 0.9571112990379333
3 30 0.9234108328819275
4 10 0.7156452536582947
4 20 0.7710264921188354
4 30 0.6527726054191589
5 10 0.5148212909698486
5 20 0.4165719151496887
5 30 0.44336700439453125
6 10 0.3665817677974701
6 20 0.48112350702285767
6 30 0.27198928594589233
7 10 0.19228821992874146
7 20 0.23617947101593018
7 30 0.19005373120307922
8 10 0.24052082002162933
8 20 0.13509194552898407
8 30 0.23241238296031952
9 10 0.1484658420085907
9 20 0.09888230264186859
9 30 0.2249571681022644
10 10 0.10866150259971619
10 20 0.12353135645389557
10 30 0.07185173779726028
11 10 0.11158090829849243
11 20 0.09736032783985138
11 30 0.0856451690196991
12 10 0.08815809339284897
12 20 0.08870954811573029
12 30 0.0760340616106987
13 10 0.07865989953279495
13 20 0.0271260067820549
13 30 0.07371777296066284
14 10 0.08409294486045837
14 20 0.08241043239831924
14 30 0.12191179394721985
15 10 0.09331730753183365
15 20 0.0708804726600647
15 30 0.05978739634156227
16 10 0.025344042107462883
16 20 0.045761838555336
16 30 0.03819970786571503
17 10 0.033165495842695236
17 20 0.062344469130039215
17 30 0.026214927434921265
18 10 0.09851979464292526
18 20 0.03793169558048248
18 30 0.10373200476169586
19 10 0.013924440369009972
19 20 0.01996607705950737
19 30 0.01354405377060175
20 10 0.014100894331932068
20 20 0.04669314622879028
20 30 0.051906052976846695
21 10 0.051322091370821
21 20 0.07040244340896606
21 30 0.07191005349159241
22 10 0.0510283038020134
22 20 0.059438642114400864
22 30 0.04454885423183441
23 10 0.023989517241716385
23 20 0.04122913256287575
23 30 0.02558744326233864
24 10 0.026508750393986702
24 20 0.027196776121854782
24 30 0.06942080706357956
25 10 0.025096982717514038
25 20 0.021271804347634315
25 30 0.02311008609831333
26 10 0.057760465890169144
26 20 0.016846448183059692
26 30 0.08361635357141495
27 10 0.011664415709674358
27 20 0.03652216121554375
27 30 0.018636178225278854
28 10 0.011614819057285786
28 20 0.036887794733047485
28 30 0.021982945501804352
29 10 0.0323575958609581
29 20 0.009064496494829655
29 30 0.016212092712521553
30 10 0.009773454628884792
30 20 0.024202032014727592
30 30 0.16679275035858154
31 10 0.042438775300979614
31 20 0.05343097820878029
31 30 0.07593468576669693
32 10 0.024232273921370506
32 20 0.11549688875675201
32 30 0.020556192845106125
33 10 0.01748177595436573
33 20 0.04489872604608536
33 30 0.006326672155410051
34 10 0.015765411779284477
34 20 0.022533686831593513
34 30 0.04975113272666931
35 10 0.17257659137248993
35 20 0.015985136851668358
35 30 0.009436225518584251
36 10 0.016281988471746445
36 20 0.015200823545455933
36 30 0.009489607065916061
37 10 0.0043436079286038876
37 20 0.027899252250790596
37 30 0.030297623947262764
38 10 0.06741157919168472
38 20 0.10519597679376602
38 30 0.018300961703062057
39 10 0.019057724624872208
39 20 0.011866530403494835
39 30 0.023605898022651672
40 10 0.0035492635797709227
40 20 0.013032720424234867
40 30 0.0127531997859478
41 10 0.001327028265222907
41 20 0.02275150641798973
41 30 0.0060511305928230286
42 10 0.017531344667077065
42 20 0.04275982081890106
42 30 0.010844413191080093
43 10 0.0370408371090889
43 20 0.016518255695700645
43 30 0.07776861637830734
44 10 0.02733883447945118
44 20 0.03181830793619156
44 30 0.01740563102066517
45 10 0.0397929921746254
45 20 0.01548080239444971
45 30 0.043746206909418106
46 10 0.10685518383979797
46 20 0.08680947124958038
46 30 0.018605168908834457
47 10 0.011587760411202908
47 20 0.038989678025245667
47 30 0.002612118376418948
48 10 0.0020381161011755466
48 20 0.024815386161208153
48 30 0.0017113022040575743
49 10 0.01565871573984623
49 20 0.0010748713975772262
49 30 0.002492365660145879
50 10 0.01753227785229683
