epoch step loss
1 1 0.006860003806650639
1 2 0.02223825640976429
1 3 2.170614607166499e-06
1 4 0.004652042873203754
1 5 0.020773079246282578
1 6 1.3032909919274971e-05
1 7 0.009194599464535713
1 8 1.874676854640711e-06
1 9 0.010244034230709076
1 10 0.042651303112506866
1 11 0.018491260707378387
1 12 0.06637018918991089
1 13 0.23809045553207397
1 14 0.0022221338003873825
1 15 0.05024495720863342
1 16 0.09441377967596054
1 17 0.08009051531553268
1 18 4.339713086665142e-06
1 19 0.007130674086511135
1 20 0.008198291063308716
1 21 0.11692343652248383
1 22 0.03672662004828453
1 23 0.013662898913025856
1 24 0.015353227965533733
1 25 0.06067828834056854
1 26 0.004388907458633184
1 27 0.07094478607177734
1 28 0.09164316952228546
1 29 0.024257495999336243
1 30 2.6076991233026092e-08
1 31 0.00010840381582966074
1 32 0.010435773991048336
1 33 0.12495299428701401
1 34 0.002222502836957574
1 35 0.0028300751000642776
1 36 3.193920565536246e-05
1 37 0.027939703315496445
1 38 4.40489238826558e-05
1 39 1.257794082221153e-07
2 1 0.014109991490840912
2 2 0.0016915124142542481
2 3 0.04847359657287598
2 4 8.454245107714087e-05
2 5 0.15076296031475067
2 6 0.05279074236750603
2 7 0.17055754363536835
2 8 0.0010687913745641708
2 9 0.015094009228050709
2 10 0.4896322786808014
2 11 0.020569205284118652
2 12 0.010227556340396404
2 13 0.009665876626968384
2 14 0.13426196575164795
2 15 0.20485714077949524
2 16 0.00011841254308819771
2 17 0.013591524213552475
2 18 0.006575787905603647
2 19 0.011250797659158707
2 20 0.0006650291616097093
2 21 0.0005077390815131366
2 22 0.00014225213089957833
2 23 0.009152905084192753
2 24 3.417221705603879e-06
2 25 0.01892097294330597
2 26 0.006467810831964016
2 27 9.722356480779126e-05
2 28 0.015244565904140472
2 29 0.05846868455410004
2 30 0.1514178216457367
2 31 0.01658656820654869
2 32 0.008571452461183071
2 33 0.024803733453154564
2 34 0.0026482953689992428
2 35 0.14609266817569733
2 36 0.00012351633631624281
2 37 0.0024250661954283714
2 38 7.3579712989158e-06
2 39 0.1307906061410904
3 1 2.923233751062071e-06
3 2 0.04265160486102104
3 3 0.07953207194805145
3 4 0.14277713000774384
3 5 0.011202304624021053
3 6 0.00735294446349144
3 7 0.013307693414390087
3 8 0.00033497519325464964
3 9 0.014912144280970097
3 10 3.666346310637891e-05
3 11 0.11532179266214371
3 12 0.02168615348637104
